gene,0h R1,0h R2,0h R3,1h R1,1h R2,1h R3,2h R1,2h R2,2h R3,3h R1,3h R2,3h R3,4h R1,4h R2,4h R3,5h R1,5h R2,5h R3,6h R1,6h R2,6h R3
Esrrb,10.7,10.6,10.8,11.0,11.0,11.2,11.2,11.2,11.2,11.6,11.6,11.6,11.8,11.9,11.9,12.0,12.0,11.8,12.0,11.9,11.8
Cdc42ep4,7.7,7.8,7.6,8.1,8.1,8.0,8.4,8.3,8.5,8.5,8.7,8.5,8.6,8.6,8.8,8.8,8.6,8.7,8.7,8.7,8.7
St6gal1,7.1,7.2,7.1,7.3,7.2,7.4,7.7,7.6,7.6,8.1,8.2,8.1,8.3,8.2,8.6,8.4,8.4,8.2,8.2,8.3,8.1
Snai3,7.0,7.0,7.1,7.3,7.1,7.1,7.4,7.2,7.2,7.7,7.5,7.4,7.8,7.7,8.1,7.8,8.0,7.7,7.9,8.2,8.0
Cpsf4l,8.0,8.3,8.1,8.5,8.4,8.2,8.4,8.5,8.4,8.7,8.6,8.6,8.9,8.7,9.1,9.0,8.8,8.9,9.1,9.2,9.1
6330407J23Rik,7.3,7.3,7.2,7.4,7.3,7.6,7.5,7.5,7.3,8.1,7.8,7.7,8.0,7.7,8.2,8.0,8.3,8.0,8.0,8.3,8.2
Tmem51,7.4,7.4,7.5,7.6,7.5,7.6,7.9,7.8,7.8,8.0,8.0,8.0,8.1,8.2,8.6,8.1,8.2,8.0,8.3,8.3,8.1
Ppap2a,7.5,7.6,7.6,7.7,7.7,7.7,8.0,7.9,7.9,8.1,8.1,8.1,8.3,8.2,8.3,8.3,8.2,8.3,8.3,8.4,8.3
En1,7.2,7.0,7.2,7.4,7.3,7.3,7.6,7.6,7.5,7.8,7.9,7.7,7.9,8.0,8.3,7.9,8.0,8.0,7.9,8.0,7.9
Klf4,7.5,7.4,7.5,7.7,7.6,7.4,7.9,7.8,8.0,8.0,8.1,8.1,8.1,8.3,7.9,8.1,8.2,8.3,8.2,8.2,8.2
Prr13,9.1,9.4,9.3,9.3,9.3,9.1,9.3,9.3,9.4,9.4,9.4,9.6,9.8,9.6,9.8,9.8,9.7,9.8,9.9,10.0,9.8
Mras,7.2,7.3,7.1,7.4,7.2,7.3,7.4,7.3,7.2,7.4,7.6,7.4,7.7,7.6,8.0,7.7,7.8,7.8,7.8,7.9,7.8
AC157994.1,7.2,7.3,7.1,7.4,7.2,7.3,7.4,7.3,7.2,7.4,7.6,7.4,7.7,7.6,8.0,7.7,7.8,7.8,7.8,7.9,7.8
Myst4,8.8,9.2,9.0,9.1,9.1,9.2,9.4,9.2,9.2,9.4,9.5,9.4,9.6,9.6,9.8,9.6,9.6,9.5,9.7,9.6,9.7
Avpi1,8.9,8.7,8.8,9.0,8.7,8.9,9.1,9.0,9.2,9.0,9.1,9.3,9.2,9.3,8.9,9.3,9.4,9.2,9.4,9.5,9.6
Igf2bp2,9.0,9.0,9.0,8.9,9.1,8.9,9.3,9.1,9.2,9.6,9.5,9.3,9.6,9.6,9.6,9.6,9.6,9.7,9.5,9.7,9.7
E130012A19Rik,10.5,10.6,10.5,10.7,10.7,11.1,10.7,10.9,10.8,11.2,11.0,10.9,11.2,11.1,11.3,11.2,11.3,11.1,11.2,11.2,11.1
Manba,7.8,7.7,7.9,7.8,7.9,7.9,8.1,8.2,8.2,8.1,8.2,8.4,8.3,8.1,7.7,8.4,8.5,8.5,8.4,8.4,8.4
Plekhg3,7.5,7.6,7.5,7.7,7.7,7.7,7.9,7.8,7.8,8.0,8.0,7.8,8.1,8.1,8.4,8.1,8.2,8.1,8.3,8.2,8.1
Klf5,10.5,10.9,10.9,11.0,10.8,11.2,11.2,11.3,11.0,11.4,11.2,11.2,11.4,11.2,11.7,11.3,11.4,11.0,11.4,11.5,11.2
Spp1,10.1,9.9,10.1,10.3,10.3,10.0,10.5,10.4,10.5,10.5,10.6,10.4,10.6,10.6,10.9,10.7,10.9,10.8,10.7,10.8,10.6
Porcn,7.4,7.5,7.4,7.7,7.7,7.5,7.9,7.8,7.9,8.0,7.8,8.0,7.9,8.0,8.3,8.0,8.1,8.0,8.1,8.1,7.9
Ebp,7.4,7.5,7.4,7.7,7.7,7.5,7.9,7.8,7.9,8.0,7.8,8.0,7.9,8.0,8.3,8.0,8.1,8.0,8.1,8.1,7.9
