gene,0h/0h,6h/0h,12h/0h
Esrrb,0.00,0.06,0.23
Cdc42ep4,0.00,-0.15,-0.15
St6gal1,0.00,-0.05,-0.02
Snai3,0.00,0.07,0.01
Cpsf4l,0.00,0.08,-0.13
6330407J23Rik,0.00,-0.15,-0.21
Tmem51,0.00,0.04,0.20
Ppap2a,0.00,-0.12,-0.10
En1,0.00,-0.06,-0.11
Klf4,0.00,0.34,0.34
Prr13,0.00,0.10,0.21
Mras,0.00,0.09,0.39
AC157994.1,0.00,0.09,0.39
Myst4,0.00,0.09,0.13
Avpi1,0.00,-0.33,-0.30
Igf2bp2,0.00,-0.15,-0.10
E130012A19Rik,0.00,-0.36,-0.54
Manba,0.00,0.12,0.02
Plekhg3,0.00,0.21,0.37
Klf5,0.00,0.06,0.07
Spp1,0.00,0.39,0.42
Porcn,0.00,-0.04,-0.06
Ebp,0.00,-0.04,-0.06
B3gnt1,0.00,0.05,0.01
Xbp1,0.00,-0.07,-0.30
Ctnnal1,0.00,0.05,-0.12
1110032A13Rik,0.00,-0.07,-0.07
Slc7a3,0.00,0.10,0.02
Ets2,0.00,-0.04,0.00
Cdh3,0.00,0.48,0.52
Lmo4,0.00,-0.08,-0.14
Setd1b,0.00,-0.07,-0.11
Trh,0.00,-0.04,-0.23
Pdpk1,0.00,-0.06,-0.11
Sox21,0.00,0.13,0.15
Kit,0.00,0.27,0.43
Sp5,0.00,-0.12,-0.20
Socs3,0.00,-0.06,-0.12
Dusp1,0.00,0.23,0.20
AL670941.2,0.00,0.04,-0.19
Ctbp2,0.00,-0.36,-0.12
Rbpms,0.00,-0.29,-0.13
Smagp,0.00,-0.12,-0.07
Ddit4,0.00,0.12,0.32
Esam,0.00,0.17,0.08
Tcf15,0.00,-0.07,-0.39
8430410A17Rik,0.00,-0.12,-0.20
Rbm47,0.00,0.24,0.02
Fzd7,0.00,0.24,-0.01
Nid2,0.00,0.14,0.26
Lpar6,0.00,0.19,0.11
Lefty1,0.00,-0.64,-0.51
Raet1d,0.00,0.08,-0.02
Raet1e,0.00,0.08,-0.02
Liph,0.00,0.11,0.18
Cyp2s1,0.00,-0.20,-0.31
Edn2,0.00,-0.38,-0.64
Ei24,0.00,0.07,0.01
Otx2,0.00,0.14,0.16
Lefty2,0.00,-0.17,-0.08
Hmgxb4,0.00,-0.15,-0.24
Lpar4,0.00,0.18,-0.15
Id1,0.00,-0.65,-0.94
Ctgf,0.00,-0.31,-0.41
