gene,6h/0h,12h/0h
Esrrb,0.9999,0.9999
Cdc42ep4,0.9999,0.9999
St6gal1,0.9999,0.9999
Snai3,0.9999,0.9999
Cpsf4l,0.9999,0.9999
6330407J23Rik,0.9999,0.5945
Tmem51,0.9999,0.9999
Ppap2a,0.9999,0.9999
En1,0.9999,0.9058
Klf4,0.9999,0.9999
Prr13,0.9999,0.9999
Mras,0.9999,0.7473
AC157994.1,0.9999,0.7473
Myst4,0.9999,0.9999
Avpi1,0.5275,0.2273
Igf2bp2,0.9999,0.9999
E130012A19Rik,0.9999,0.0546
Manba,0.9999,0.9999
Plekhg3,0.9999,0.9999
Klf5,0.9999,0.9999
Spp1,0.9999,0.9999
Porcn,0.9999,0.9999
Ebp,0.9999,0.9999
B3gnt1,0.9999,0.9999
Xbp1,0.9999,0.7409
Ctnnal1,0.9999,0.9999
1110032A13Rik,0.9999,0.9999
Slc7a3,0.9999,0.9999
Ets2,0.9999,0.9999
Cdh3,0.9999,0.5168
Lmo4,0.9999,0.9999
Setd1b,0.9999,0.9999
Trh,0.9999,0.9936
Pdpk1,0.9999,0.9999
Sox21,0.9999,0.9638
Kit,0.9999,0.2305
Sp5,0.9999,0.9140
Socs3,0.9999,0.9999
Dusp1,0.9999,0.9999
AL670941.2,0.9999,0.9999
Ctbp2,0.9999,0.9999
Rbpms,0.9999,0.9999
Smagp,0.9999,0.9999
Ddit4,0.9999,0.5626
Esam,0.9999,0.9999
Tcf15,0.9999,0.8696
8430410A17Rik,0.9999,0.9999
Rbm47,0.9999,0.9999
Fzd7,0.9999,0.9999
Nid2,0.9999,0.9999
Lpar6,0.9999,0.9999
Lefty1,0.9999,0.9146
Raet1d,0.9999,0.9999
Raet1e,0.9999,0.9999
Liph,0.9999,0.9638
Cyp2s1,0.9999,0.9999
Edn2,0.6983,0.0154
Ei24,0.9999,0.9999
Otx2,0.9999,0.9999
Lefty2,0.9999,0.9999
Hmgxb4,0.9999,0.9999
Lpar4,0.9999,0.9999
Id1,0.2412,0.0042
Ctgf,0.9999,0.2843
