gene,0h R1,0h R2,0h R3,6h R1,6h R2,6h R3,12h R1,12h R2,12h R3
Esrrb,11.3,11.5,12.1,12.3,12.1,12.7,12.5,12.5,13.0
Cdc42ep4,8.5,8.5,8.6,9.0,9.1,9.4,9.2,9.2,9.4
St6gal1,7.9,7.8,8.1,8.9,8.4,8.7,9.0,8.7,8.8
Snai3,7.9,7.9,7.9,8.5,8.3,8.0,9.1,8.7,8.6
Cpsf4l,9.5,8.8,9.2,10.0,9.4,9.6,10.1,9.8,10.0
6330407J23Rik,7.6,7.6,7.7,8.0,8.1,8.1,8.5,8.4,8.2
Tmem51,7.7,8.0,8.4,8.1,8.3,8.7,8.4,8.5,8.8
Ppap2a,8.0,8.2,8.1,8.4,8.3,8.6,8.7,8.5,8.9
En1,7.0,6.9,7.0,7.4,7.3,7.3,7.3,7.2,7.2
Klf4,7.6,7.9,7.9,8.5,8.7,8.2,9.1,9.0,8.3
Prr13,9.2,9.7,10.3,9.5,10.1,10.3,9.7,10.3,10.3
Mras,7.0,7.2,7.5,7.4,7.6,7.8,8.1,8.2,8.7
AC157994.1,7.0,7.2,7.5,7.4,7.6,7.8,8.1,8.2,8.7
Myst4,9.7,9.9,9.7,10.2,10.3,10.3,10.3,10.6,10.8
Avpi1,8.0,8.1,8.1,8.2,8.1,8.3,8.3,8.2,8.4
Igf2bp2,8.8,9.2,9.8,8.9,9.4,10.2,9.4,9.9,10.5
E130012A19Rik,11.1,11.4,11.5,11.3,11.6,11.6,11.5,11.6,11.7
Manba,8.0,8.4,8.5,8.4,8.7,8.7,8.8,9.0,9.0
Plekhg3,7.5,7.9,8.4,7.9,8.2,8.9,8.2,8.7,9.1
Klf5,10.5,10.8,10.6,10.5,11.0,11.0,10.6,10.8,11.1
Spp1,10.2,10.2,9.7,11.3,10.5,9.9,11.8,11.1,10.3
Porcn,7.8,7.8,8.0,8.3,8.0,8.3,8.2,8.1,8.4
Ebp,7.8,7.8,8.0,8.3,8.0,8.3,8.2,8.1,8.4
B3gnt1,7.7,7.9,8.1,8.1,8.2,8.5,8.2,8.2,8.4
Xbp1,9.5,9.6,9.8,10.1,10.2,10.4,10.0,10.3,10.1
Ctnnal1,10.1,10.2,10.0,10.3,10.1,10.1,10.3,10.3,10.0
1110032A13Rik,9.5,9.8,9.6,9.7,9.7,9.9,9.7,9.9,10.1
Slc7a3,10.9,10.6,10.8,11.7,11.3,11.1,12.0,11.7,11.3
Ets2,8.0,7.9,7.9,8.5,8.2,8.4,8.5,8.3,8.5
Cdh3,7.6,7.5,7.4,8.7,8.3,8.2,9.1,8.5,8.3
Lmo4,9.0,9.0,9.0,9.5,9.5,9.2,9.6,9.6,8.9
Setd1b,8.3,8.2,8.2,8.6,8.2,8.3,8.6,8.6,8.2
Trh,10.3,10.3,10.8,11.5,11.2,11.4,11.4,11.1,11.1
Pdpk1,8.3,7.9,7.9,8.4,8.2,8.1,8.5,8.3,8.2
Sox21,7.2,7.2,7.3,7.5,7.5,7.4,7.8,7.7,7.5
Kit,7.9,7.9,7.8,8.1,8.0,8.1,8.9,8.7,8.8
Sp5,7.3,7.5,7.3,7.6,7.4,7.6,7.8,7.6,7.4
Socs3,9.3,9.7,9.4,9.0,9.3,9.3,9.2,9.3,9.3
Dusp1,9.0,8.5,8.9,8.3,8.3,8.4,8.7,8.5,8.3
AL670941.2,10.5,10.7,10.0,10.6,10.3,9.6,10.3,10.0,9.6
Ctbp2,9.5,9.0,9.0,9.1,8.8,8.9,9.0,8.7,8.7
Rbpms,9.6,9.2,8.7,9.4,9.0,8.7,9.2,8.7,8.6
Smagp,9.6,9.5,10.0,9.2,9.2,9.8,9.1,9.2,9.6
Ddit4,8.4,8.1,7.9,8.1,8.2,7.9,7.9,7.8,7.8
Esam,7.3,7.8,8.0,7.1,7.7,7.8,7.0,7.9,7.8
Tcf15,9.7,9.9,9.9,9.0,9.5,9.7,8.9,9.4,9.3
8430410A17Rik,9.7,9.6,9.3,9.7,9.2,9.1,9.1,9.1,9.0
Rbm47,8.6,8.9,8.7,8.2,8.8,8.2,8.2,8.9,8.0
Fzd7,9.1,9.4,9.6,8.8,9.2,8.7,8.7,9.4,8.5
Nid2,9.9,9.1,8.3,9.7,8.7,8.0,9.6,8.9,8.3
Lpar6,9.0,8.8,8.8,8.6,8.6,8.3,8.2,8.3,8.1
Lefty1,9.3,9.0,9.4,8.3,8.1,8.8,7.8,8.0,8.8
Raet1d,8.1,8.2,8.2,7.6,8.0,7.7,7.2,7.9,7.4
Raet1e,8.1,8.2,8.2,7.6,8.0,7.7,7.2,7.9,7.4
Liph,9.5,9.2,9.6,9.2,9.2,9.4,8.8,8.9,8.9
Cyp2s1,7.7,8.5,8.7,7.3,8.2,8.3,7.0,7.8,8.1
Edn2,6.7,7.0,7.1,6.4,6.7,6.7,6.4,6.5,6.4
Ei24,9.7,9.8,9.5,9.5,9.5,9.1,9.4,9.6,8.9
Otx2,8.9,8.8,8.8,8.2,8.3,8.0,8.3,8.3,7.9
Lefty2,7.6,7.7,8.3,7.0,7.3,7.8,6.8,7.3,7.7
Hmgxb4,9.8,9.9,9.4,9.5,9.5,9.0,9.0,9.2,8.6
Lpar4,8.7,8.5,8.5,8.3,8.4,7.7,7.8,8.0,7.3
Id1,9.3,9.2,9.0,8.1,8.3,8.5,7.6,7.9,7.9
Ctgf,10.8,10.6,10.6,9.8,9.9,9.8,9.3,9.7,9.4
