genes,adjP(Z6/E14Tg2a),adjP(OKO160/E14Tg2a),adjP(Z6/OctGip),adjP(OKO160/OctGip)
mmu-mir-21,0.9306,0.6725,0.9745,0.673371746
SNORD12,0.9269,0.9894,0.9675,0.895337775
mmu-mir-1893,0.9912,0.5838,0.959,0.739983574
mmu-mir-700,0.7312,0.7911,0.9242,0.962359057
SNORA41,0.316,0.1822,0.9372,0.997951192
snoU105B,0.6643,0.9549,0.4831,0.926191313
AC125254.3,0.6124,0.8951,0.9564,0.891450275
snoMBII-202,0.5942,0.5287,0.9553,0.930710911
mmu-mir-205,0.2914,0.5619,0.4694,0.753191263
SNORA36,0.8014,0.9955,0.996,0.806999987
SNORA51,0.7028,0.9196,0.9881,0.817033329
SNORD12,0.9269,0.9894,0.9675,0.895337775
mmu-mir-126,0.0777,0.101,0.0648,0.071914758
SNORD29,0.6523,0.8473,0.8723,0.984747922
SNORD77,0.9244,0.4809,0.485,0.875218795
CT009594.2,0.9318,0.6406,0.917,0.952693557
mmu-mir-351,0.3767,0.5624,0.2796,0.438939787
U8,0.8893,0.7643,0.9881,0.924069978
SNORD123,0.816,0.2622,0.9861,0.100170366
SNORD14,0.2058,0.2458,0.8658,0.766452038
SNORD88,0.9381,0.4615,0.9122,0.618927006
ACA64,0.8034,0.7745,0.919,0.89596617
5S_rRNA,0.8673,0.9791,0.7107,0.831507363
SNORD64,0.9841,0.8365,0.9811,0.885882163
snoU13,0.4146,0.975,0.2794,0.921838836
SNORD88,0.9381,0.4615,0.9122,0.618927006
SNORD42,0.8799,0.0421,0.7034,0.418245181
SNORD83,0.9079,0.9371,0.963,0.921552355
AL591207.2,0.9148,0.9601,0.9416,0.974951731
AC132367.2,0.9581,0.5995,0.9707,0.489912773
mmu-mir-301b,0.9607,0.3028,0.6782,0.76591455
U6,0.713,0.1857,0.9122,0.773866112
SNORD58,0.9803,0.6991,0.774,0.386108032
mmu-mir-24-1,0.9222,0.9554,0.9202,0.722990418
U7,0.148,0.8262,0.0266,0.314534654
SNORD37,0.8621,0.5918,0.997,0.848782695
SNORA70,0.8585,0.1447,0.7866,0.722847672
AL670446.1,0.6669,0.8602,0.4694,0.982281272
SNORA77,0.4165,0.9362,0.2717,0.948352182
mmu-mir-682,0.8442,0.7915,0.9876,0.969176079
AC122313.1,0.7542,0.8189,0.6364,0.684495892
SNORA70,0.8585,0.1447,0.7866,0.722847672
AC154846.1,0.9619,0.9714,0.9088,0.786185779
SNORD60,0.1479,0.8969,0.4535,0.919243491
snR78,0.6471,0.7474,0.9852,0.923693425
mmu-mir-7a-1,0.3909,0.5561,0.9486,0.976325629
AC119211.1,0.8442,0.7915,0.9876,0.969176079
snoU97,0.7238,0.7181,0.9252,0.925959505
SNORA2,0.0247,0.1576,0.0106,0.057814045
AC148988.2,0.6168,0.8043,0.7489,0.88476317
SNORA8,0.9799,0.4029,0.452,0.967241038
SNORA81,0.5773,0.9373,0.6353,0.947883527
SNORA19,0.8324,0.1757,0.848,0.735481569
SNORD31,0.6523,0.8473,0.8723,0.984747922
