gene,E14Tg2a-1,E14Tg2a-2,E14Tg2a-3,OctGip-1,OctGip-2,OctGip-3,OKO160-1,OKO160-2,OKO160-3,Z6-1,Z6-2,Z6-3
mmu-mir-21,6.7192,6.5997,6.6038,6.6317,6.69,6.6176,6.5854,6.6247,6.5962,6.6693,6.6374,6.6529
SNORD12,11.0028,11.1294,10.9679,11.0764,10.9488,10.8997,11.061,11.073,10.9503,10.9692,10.7621,11.2629
mmu-mir-1893,6.5512,6.6128,6.6572,6.6036,6.6032,6.589,6.5379,6.5348,6.6174,6.5781,6.627,6.6209
mmu-mir-700,6.6342,6.6677,6.624,6.6911,6.6048,6.6905,6.6179,6.743,6.6557,6.6654,6.6913,6.6856
SNORA41,12.7446,12.602,12.5298,12.2042,12.2471,12.3435,12.4651,12.2528,12.0701,12.3176,12.1038,12.5491
snoU105B,8,8.01,7.9391,8.0427,7.9712,8.1574,8.0782,7.9794,7.9664,7.9784,7.9745,7.5952
AC125254.3,6.7885,6.7558,6.7549,6.8397,6.7451,6.8161,6.8126,6.7644,6.7675,6.8148,6.8332,6.7851
snoMBII-202,14.1754,14.2092,14.0172,14.085,14.3673,14.1464,14.2221,14.2391,14.215,14.2305,14.1899,14.2391
mmu-mir-205,6.7276,6.6342,6.6027,6.6058,6.6976,6.6249,6.5997,6.6461,6.5769,6.5905,6.5687,6.577
SNORA36,6.7825,6.7001,6.7202,6.6485,6.678,6.7783,6.7099,6.6999,6.7955,6.7278,6.7075,6.6729
SNORA51,10.1259,10.0301,10.2437,10.3675,9.5762,9.8171,10.0293,10.0508,10.1284,9.9211,9.9786,9.9157
SNORD12,11.0028,11.1294,10.9679,11.0764,10.9488,10.8997,11.061,11.073,10.9503,10.9692,10.7621,11.2629
mmu-mir-126,7.3613,7.5895,7.5182,7.3654,7.5444,7.5037,7.5849,7.709,7.7412,7.7387,7.6785,7.6696
SNORD29,6.6869,6.5706,6.6098,6.6621,6.6091,6.6642,6.6694,6.6712,6.6102,6.703,6.6216,6.7094
SNORD77,6.5457,6.567,6.6244,6.6134,6.6376,6.6887,6.6056,6.6479,6.6295,6.5874,6.5975,6.5867
CT009594.2,6.8154,7.0503,6.9179,6.8029,6.9234,6.8684,6.7215,6.9542,6.8521,6.9096,6.9019,6.8971
mmu-mir-351,6.8069,6.861,6.7499,6.7229,6.8294,6.7971,6.8066,6.8747,6.935,6.9648,6.8236,6.911
U8,6.8462,6.9004,6.7836,6.8836,6.9242,6.8079,6.7792,6.8887,7.0399,6.833,7.0162,6.7871
SNORD123,6.9674,7.1708,7.0979,7.2607,7.1995,7.0305,6.8411,6.9591,6.7828,6.9712,7.101,7.3836
SNORD14,13.4627,13.1898,13.3213,12.9183,13.0415,13.0268,13.1967,13.1278,12.9563,13.2686,13.0367,12.9084
SNORD88,6.709,6.5644,6.5954,6.6094,6.6736,6.6117,6.6969,6.6757,6.6749,6.6377,6.6357,6.561
ACA64,6.6601,6.5837,6.5774,6.6148,6.6073,6.5691,6.5702,6.586,6.5775,6.5985,6.5991,6.5392
5S_rRNA,6.6132,6.5713,6.5804,6.5761,6.5321,6.5853,6.6279,6.5755,6.5727,6.6427,6.5562,6.6291
SNORD64,6.6909,6.6885,6.695,6.732,6.6911,6.6581,6.7303,6.6963,6.7158,6.6266,6.7092,6.7295
snoU13,6.6359,6.6604,6.6521,6.5749,6.6842,6.6238,6.6458,6.6793,6.6089,6.7378,6.692,6.7263
SNORD88,6.709,6.5644,6.5954,6.6094,6.6736,6.6117,6.6969,6.6757,6.6749,6.6377,6.6357,6.561
SNORD42,13.6707,13.6193,13.5918,13.4528,13.6707,13.3983,13.4264,13.3585,13.3585,13.5806,13.5653,13.6278
SNORD83,8.4021,7.7085,8.2122,8.4378,7.6859,8.0829,7.9979,8.2641,8.2532,7.8054,8.1236,8.0959
AL591207.2,6.6813,6.7184,6.6597,6.7308,6.6793,6.6479,6.6789,6.6932,6.669,6.6777,6.711,6.6319
AC132367.2,6.7588,6.6331,6.6556,6.6908,6.6748,6.6138,6.8112,6.7378,6.6924,6.7609,6.5729,6.6791
mmu-mir-301b,6.6283,6.6306,6.6117,6.6235,6.6792,6.6915,6.7501,6.6991,6.6531,6.5814,6.6995,6.5659
U6,13.8575,13.9938,13.9938,14.1357,13.9787,14.0105,14.1055,14.0555,14.1312,14.0555,14.0345,13.9389
SNORD58,13.437,13.6143,13.5115,13.571,13.375,13.4528,13.5368,13.5516,13.649,13.5251,13.5516,13.5045
mmu-mir-24-1,6.6945,6.7019,6.6466,6.7643,6.6471,6.7408,6.7559,6.6276,6.6327,6.6905,6.7126,6.6869
U7,8.9175,9.6817,8.8811,8.7859,9.0061,8.9134,9.0871,9.3684,9.3688,9.4613,9.6843,9.7724
SNORD37,8.8381,8.4204,8.8937,9.3089,7.9354,8.3773,8.3496,8.2828,8.3473,8.4407,8.3857,8.7784
SNORA70,14.1464,14.1754,14.1698,14.0395,14.1664,14.0395,14.1312,14.0105,13.9389,14.1171,14.1312,14.1516
AL670446.1,6.7428,6.7024,6.725,6.7153,6.8006,6.7245,6.7022,6.779,6.7462,6.6506,6.7134,6.6875
SNORA77,13.1278,13.1967,13.135,13.1576,13.1781,13.2686,13.1898,13.1472,13.1898,12.8011,13.1898,13.0367
mmu-mir-682,13.8948,13.8352,13.6278,13.6278,13.8658,13.7484,13.6623,13.809,13.7256,13.7256,13.6853,13.809
AC122313.1,6.8767,6.6329,6.678,6.7937,6.6302,6.6336,6.9426,6.7237,6.694,6.9419,6.7246,6.7528
SNORA70,14.1464,14.1754,14.1698,14.0395,14.1664,14.0395,14.1312,14.0105,13.9389,14.1171,14.1312,14.1516
AC154846.1,6.7122,6.8611,6.7301,6.7182,6.7909,6.6869,6.7087,6.7947,6.8199,6.7789,6.7971,6.6988
SNORD60,10.0264,10.2489,10.106,10.0906,9.9315,10.0071,10.1774,10.2448,9.7873,9.8537,9.9625,9.4696
snR78,10.2654,10.7105,10.1791,10.222,10.1275,10.28,10.143,10.3062,10.3539,10.0575,10.345,10.2757
mmu-mir-7a-1,6.7505,6.742,6.6638,6.6382,6.6771,6.685,6.6303,6.7072,6.6791,6.651,6.6895,6.6238
AC119211.1,13.8948,13.8352,13.6278,13.6278,13.8658,13.7484,13.6623,13.809,13.7256,13.7256,13.6853,13.809
snoU97,8.8678,8.2502,9.0579,9.1043,7.9982,8.6079,8.4286,8.4588,8.4532,8.2876,8.6377,8.38
SNORA2,11.124,11.2812,11.3475,11.2118,11.3871,11.3504,10.9742,11.1409,10.9871,10.8271,11.0207,10.8864
AC148988.2,6.7953,6.9176,6.7773,6.7885,6.8856,6.8418,6.9307,6.8234,6.8559,6.9722,6.8093,6.9208
SNORA8,7.8646,7.3756,7.2509,7.3443,7.0465,7.1577,7.3171,7.1946,7.1428,7.2927,7.3739,7.7725
SNORA81,10.2326,9.7719,10.3926,10.4973,9.906,9.9625,10.4973,10.1494,9.9295,10.6616,10.0473,10.5794
SNORA19,6.6567,6.6456,6.6534,6.6867,6.7105,6.712,6.8031,6.692,6.7216,6.6488,6.6874,6.6901
SNORD31,6.6869,6.5706,6.6098,6.6621,6.6091,6.6642,6.6694,6.6712,6.6102,6.703,6.6216,6.7094
AL935150.6,6.8051,6.8416,6.8635,6.8628,6.8805,6.7314,6.8475,6.9747,6.8724,6.8298,6.8997,6.8611
AC136746.1,6.6101,6.6549,6.6367,6.6175,6.6944,6.596,6.6939,6.6304,6.6432,6.6004,6.6549,6.6365
AC147987.3,6.757,6.7008,6.7389,6.8194,6.6631,6.7921,6.7494,6.8798,6.7745,6.6125,6.7617,6.6652
AL670236.4,6.6773,6.6981,6.7609,6.676,6.7534,6.7556,6.9033,6.7456,6.6588,6.7644,6.7383,6.6245
AC123795.1,6.7272,6.7618,6.7728,6.6364,6.807,6.7302,6.6866,6.7536,6.8357,6.756,6.6876,6.7641
AC107744.1,8.3492,8.6124,8.2384,8.3793,8.4333,8.472,8.2464,8.4933,8.5889,8.2634,8.4707,8.419
