gene,logFC(Z6/E14Tg2a),logFC(OKO160/E14Tg2a),logFC(Z6/OctGip),logFC(OKO160/OctGip)
mmu-mir-21,0.0123,-0.0388,0.0068,-0.0443
SNORD12,-0.0353,-0.0053,0.0231,0.0531
mmu-mir-1893,0.0016,-0.0437,0.0101,-0.0352
mmu-mir-700,0.0388,0.0302,0.0186,0.0101
SNORA41,-0.302,-0.3628,0.0586,-0.0023
snoU105B,-0.1336,0.025,-0.2077,-0.0491
AC125254.3,0.0447,0.0151,0.0107,-0.0188
snoMBII-202,0.0859,0.0915,0.0203,0.0258
mmu-mir-205,-0.0761,-0.0473,-0.064,-0.0352
SNORA36,-0.0316,8.34E-04,0.0012,0.0335
SNORA51,-0.1947,-0.0637,0.0182,0.1492
SNORD12,-0.0353,-0.0053,0.0231,0.0531
mmu-mir-126,0.2059,0.1887,0.2244,0.2072
SNORD29,0.0556,0.0279,0.0328,0.0051
SNORD77,0.0115,0.0486,-0.056,-0.0189
CT009594.2,-0.025,-0.0852,0.038,-0.0223
mmu-mir-351,0.0939,0.0662,0.1167,0.089
U8,0.0354,0.0592,0.0069,0.0307
SNORD123,0.0732,-0.2177,-0.0117,-0.3026
SNORD14,-0.2534,-0.231,0.0757,0.098
SNORD88,-0.0115,0.0595,-0.0201,0.0509
ACA64,-0.0281,-0.0291,-0.0181,-0.0192
5S_rRNA,0.021,0.0037,0.0448,0.0275
SNORD64,-0.003,0.0226,-0.0053,0.0204
snoU13,0.0692,-0.0048,0.091,0.017
SNORD88,-0.0115,0.0595,-0.0201,0.0509
SNORD42,-0.036,-0.2461,0.084,-0.1261
SNORD83,-0.0993,0.0642,-0.0605,0.1029
AL591207.2,-0.013,-0.0061,-0.0125,-0.0057
AC132367.2,-0.0115,0.0647,0.0112,0.0874
mmu-mir-301b,-0.0079,0.0773,-0.0491,0.036
U6,0.0613,0.149,-0.032,0.0558
SNORD58,0.0061,0.0582,0.0608,0.1129
mmu-mir-24-1,0.0157,-0.0089,-0.0207,-0.0453
U7,0.4792,0.1147,0.7375,0.373
SNORD37,-0.1825,-0.3909,-0.0056,-0.214
SNORA70,-0.0306,-0.137,0.0515,-0.055
