gene,pvalue
Snx10,3100
Irs2,3100
Foxb1,3100
Cobll1,3100
Pth2r,3100
Mgmt,1426.01
Zeb2,1619.61
Mtap2,3100
Irx1,3100
Ptbp2,2332.21
Tars2,3100
Fam38b,2469.7
Ythdf3,1869.66
Oca2,3100
Kcnq3,3100
Cxcl13,2072.14
Kdr,3100
Rasgrf2,3100
Zadh2,3100
4930555F03Rik,1697.87
Gramd3,614.15
Ada,3100
Trim67,2340.77
Grin2b,1020.45
Scnn1b,1765.95
B020018G12Rik,1778.54
Huwe1,3100
Alppl2,2697.96
Prdm4,1039.07
Osmr,3100
Gabrb3,3100
Taar7f,1220.89
Pard6g,680.23
Atoh1,3100
Kirrel3,2796.38
Cast,1340.49
Chrm3,1298.31
Zpld1,1021.85
Fstl4,839.23
Odz4,1760.45
Snx16,999.38
4930452B06Rik,3100
Clybl,3100
Kcnk15,2337.18
Atg10,1812.16
Celf4,2803.59
Chst15,1841.4
Pxmp3,1108.36
Pth2r,589.02
Pid1,3100
Thsd7a,2256.77
Ccr6,967.34
Zfp608,1463.93
Col11a1,866.71
Gm5506,1760.26
Cbln4,1532.52
Zfp831,2511.88
Klhl13,1942.32
Bcat1,1436.19
Dync1i2,3116.54
Edn1,521.75
Dclk1,666.27
Syt13,2515.85
1810012P15Rik,1804.57
1700018B24Rik,1683.11
Fgfr2,1116.42
Ext1,539.48
Mid1ip1,2145.31
Adamts9,1443.94
Myom2,635.3
Lrrtm4,3100
Gm9989,1562.93
Sema5a,2813.9
Lypd6,445.12
Gm17316,3100
Myo3a,3100
Rchy1,2243.63
Dpp10,1929.39
Lmo4,1490.84
Has2,1162.17
Adra1a,934.55
Nars2,3100
Ccdc85a,2593.69
Cachd1,2264.96
Trpm3,671.37
Mab21l2,3100
Arfgap2,1581.58
B230118H07Rik,1002.83
Pde10a,947.43
Dtna,3100
Gm9343,2723.66
Tex2,2257.43
Plxna4,1745.67
Htr5a,1174.69
Zfp677,1049.27
Gm10955,3100
Pkhd1,873.13
2610008E11Rik,556.06
Odz2,2818.37
Snhg11,1469.94
Pip5k1b,1191.8
Frmd4a,800.77
Zpld1,2937.44
Lsm14a,2601.38
Acpp,2319.2
Pappa,3100
Rabgap1l,3100
Cep152,1174.22
Moxd1,3100
Dsel,2024.55
B130024G19Rik,1144.71
Egflam,1024.94
Zfp608,3148.04
Trp63,3100
Gm8394,2835.92
Sh3bgrl,1125.48
Pxmp3,662.16
Xylt1,417.25
Wdr11,1616.61
Gm1840,1263.47
Myc,795.28
Jakmip2,3100
Nov,3100
Iapp,2132.64
Cps1,2067.42
Abca4,1208.7
8430410K20Rik,785.02
Pik3c3,739.41
Cntnap5a,663.36
Zfp677,3100
Cdh12,3100
Gm10063,3100
Zfp161,2790.85
Trpc6,2718.16
Gm9008,1487.99
Pld1,1152.93
Ocm,808.6
Lce6a,785.19
AW146020,3152.18
Hs6st2,3100
Kcna4,3100
Prr23a,1440.51
Gm11111,475.8
Rnf217,3072.71
Zfpm2,2866.87
Rfwd2,2836.83
Cdx4,2808.5
Pilrb2,2792.08
Apol7d,1593.71
Ppp1r9a,981.93
Eftud1,795.46
Csmd3,3203.92
Sgip1,3122.28
Frem3,1738.7
Chd9,1704.71
Gm17394,1411.16
Ppp4r4,654.72
Iqsec2,444.6
Olfr576,351.52
Myo10,1495.97
Tnfsf4,1255.9
2410076I21Rik,1084.91
Ap1s3,1019.76
Dkk2,514.16
Cdh12,472.3
Utrn,3100
Scg2,3100
Mcph1,2500.13
Copa,2468.78
Tbl1x,1841.77
Mid1,1324.97
Grik2,944.03
Cdh8,711.56
Mamdc2,685.96
Gm4392,362.12
Egflam,3065.86
Zbtb40,1797.35
Bet1,1089.55
Gm17459,3208.09
Atp8a1,1743.47
Pdzrn3,1370.06
Kcnip2,1228.1
Hivep2,1176.46
Efnb2,1128.19
Erbb4,1088.16
Zfp462,672.57
Rabl2,410.75
Zfp608,3100
Dnahc5,3100
Fam108c,2583.33
Rnf44,1754.31
Lyzl1,1333.1
Unc5d,1300.58
Foxk1,1248.48
Sh3bp4,1038.17
Gdpd4,937
Dnajb11,730.05
Plch1,706.71
Frmd7,312.61
Lypd6,207.71
