gene,fcQuantiles
Snx10,-2.71
Irs2,-2.66
Foxb1,-2.66
Cobll1,-2.52
Pth2r,-2.46
Mgmt,-2.46
Zeb2,-2.44
Mtap2,-2.41
Irx1,-2.34
Ptbp2,-2.3
Tars2,-2.29
Fam38b,-2.26
Ythdf3,-2.26
Oca2,-2.23
Kcnq3,-2.22
Cxcl13,-2.22
Kdr,-2.2
Rasgrf2,-2.19
Zadh2,-2.18
4930555F03Rik,-2.17
Gramd3,-2.17
Ada,-2.13
Trim67,-2.13
Grin2b,-2.13
Scnn1b,-2.12
B020018G12Rik,-2.1
Huwe1,-2.09
Alppl2,-2.09
Prdm4,-2.09
Osmr,-2.08
Gabrb3,-2.07
Taar7f,-2.07
Pard6g,-2.07
Atoh1,-2.05
Kirrel3,-2.05
Cast,-2.05
Chrm3,-2.05
Zpld1,-2.05
Fstl4,-2.05
Odz4,-2.04
Snx16,-2.04
4930452B06Rik,-2.03
Clybl,-2.02
Kcnk15,-2.02
Atg10,-2.02
Celf4,-2.01
Chst15,-2
Pxmp3,-2
Pth2r,-2
Pid1,-1.99
Thsd7a,-1.99
Ccr6,-1.98
Zfp608,-1.97
Col11a1,-1.97
Gm5506,-1.96
Cbln4,-1.96
Zfp831,-1.95
Klhl13,-1.95
Bcat1,-1.95
Dync1i2,-1.94
Edn1,-1.94
Dclk1,-1.93
Syt13,-1.92
1810012P15Rik,-1.92
1700018B24Rik,-1.92
Fgfr2,-1.92
Ext1,-1.92
Mid1ip1,-1.91
Adamts9,-1.91
Myom2,-1.91
Lrrtm4,-1.9
Gm9989,-1.9
Sema5a,-1.89
Lypd6,-1.89
Gm17316,-1.88
Myo3a,-1.88
Rchy1,-1.88
Dpp10,-1.88
Lmo4,-1.88
Has2,-1.88
Adra1a,-1.88
Nars2,-1.87
Ccdc85a,-1.87
Cachd1,-1.87
Trpm3,-1.87
Mab21l2,-1.86
Arfgap2,-1.86
B230118H07Rik,-1.86
Pde10a,-1.86
Dtna,-1.85
Gm9343,-1.85
Tex2,-1.85
Plxna4,-1.85
Htr5a,-1.85
Zfp677,-1.85
Gm10955,-1.84
Pkhd1,-1.84
2610008E11Rik,-1.84
Odz2,-1.83
Snhg11,-1.83
Pip5k1b,-1.83
Frmd4a,-1.83
Zpld1,-1.82
Lsm14a,-1.82
Acpp,-1.82
Pappa,-1.81
Rabgap1l,-1.81
Cep152,-1.81
Moxd1,-1.8
Dsel,-1.8
B130024G19Rik,-1.8
Egflam,-1.8
Zfp608,-1.79
Trp63,-1.79
Gm8394,-1.79
Sh3bgrl,-1.79
Pxmp3,-1.79
Xylt1,-1.79
Wdr11,-1.78
Gm1840,-1.78
Myc,-1.78
Jakmip2,-1.77
Nov,-1.77
Iapp,-1.77
Cps1,-1.77
Abca4,-1.77
8430410K20Rik,-1.77
Pik3c3,-1.77
Cntnap5a,-1.77
Zfp677,-1.76
Cdh12,-1.76
Gm10063,-1.76
Zfp161,-1.76
Trpc6,-1.76
Gm9008,-1.76
Pld1,-1.76
Ocm,-1.76
Lce6a,-1.76
AW146020,-1.75
Hs6st2,-1.75
Kcna4,-1.75
Prr23a,-1.75
Gm11111,-1.75
Rnf217,-1.74
Zfpm2,-1.74
Rfwd2,-1.74
Cdx4,-1.74
Pilrb2,-1.74
Apol7d,-1.74
Ppp1r9a,-1.74
Eftud1,-1.74
Csmd3,-1.73
Sgip1,-1.73
Frem3,-1.73
Chd9,-1.73
Gm17394,-1.73
Ppp4r4,-1.73
Iqsec2,-1.73
Olfr576,-1.73
Myo10,-1.72
Tnfsf4,-1.72
2410076I21Rik,-1.72
Ap1s3,-1.72
Dkk2,-1.72
Cdh12,-1.72
Utrn,-1.71
Scg2,-1.71
Mcph1,-1.71
Copa,-1.71
Tbl1x,-1.71
Mid1,-1.71
Grik2,-1.71
Cdh8,-1.71
Mamdc2,-1.71
Gm4392,-1.71
Egflam,-1.7
Zbtb40,-1.7
Bet1,-1.7
Gm17459,-1.69
Atp8a1,-1.69
Pdzrn3,-1.69
Kcnip2,-1.69
Hivep2,-1.69
Efnb2,-1.69
Erbb4,-1.69
Zfp462,-1.69
Rabl2,-1.69
Zfp608,-1.68
Dnahc5,-1.68
Fam108c,-1.68
Rnf44,-1.68
Lyzl1,-1.68
Unc5d,-1.68
Foxk1,-1.68
Sh3bp4,-1.68
Gdpd4,-1.68
Dnajb11,-1.68
Plch1,-1.68
Frmd7,-1.68
Lypd6,-1.68
Fam55b,-1.67
BC026585,-1.67
Inhba,-1.67
Gm606,-1.67
Cdh10,-1.67
Mas1,-1.67
Gm17684,-1.67
Vstm2b,-1.67
Arrdc1,-1.67
Zfp608,-1.66
Oxr1,-1.66
Atg4a,-1.66
Arhgef26,-1.66
Lhx5,-1.66
