gene,fcRaw
Snx10,-2.63
Irs2,-2.33
Foxb1,-2.36
Cobll1,-2.23
Pth2r,-2.15
Mgmt,-2.52
Zeb2,-2.59
Mtap2,-2.05
Irx1,-2.07
Ptbp2,-2.25
Tars2,-2
Fam38b,-2.17
Ythdf3,-2.23
Oca2,-1.92
Kcnq3,-1.98
Cxcl13,-2.16
Kdr,-1.81
Rasgrf2,-1.87
Zadh2,-1.85
4930555F03Rik,-2.22
Gramd3,-2.74
Ada,-1.76
Trim67,-2.02
Grin2b,-2.46
Scnn1b,-1.82
B020018G12Rik,-2.04
Huwe1,-1.74
Alppl2,-1.93
Prdm4,-2.1
Osmr,-1.69
Gabrb3,-1.8
Taar7f,-2.25
Pard6g,-2.21
Atoh1,-1.73
Kirrel3,-1.87
Cast,-1.88
Chrm3,-2.31
Zpld1,-2.47
Fstl4,-2.22
Odz4,-1.82
Snx16,-2.21
4930452B06Rik,-1.64
Clybl,-1.66
Kcnk15,-1.71
Atg10,-2
Celf4,-1.79
Chst15,-1.75
Pxmp3,-1.96
Pth2r,-2.51
Pid1,-1.77
Thsd7a,-1.91
Ccr6,-2.19
Zfp608,-1.86
Col11a1,-2.29
Gm5506,-2
Cbln4,-1.95
Zfp831,-1.65
Klhl13,-1.82
Bcat1,-1.96
Dync1i2,-1.62
Edn1,-2.69
Dclk1,-2.07
Syt13,-1.6
1810012P15Rik,-1.66
1700018B24Rik,-1.93
Fgfr2,-1.82
Ext1,-2.1
Mid1ip1,-1.81
Adamts9,-1.85
Myom2,-2.34
Lrrtm4,-1.53
Gm9989,-2
Sema5a,-1.64
Lypd6,-2.52
Gm17316,-1.49
Myo3a,-1.51
Rchy1,-1.66
Dpp10,-1.78
Lmo4,-1.85
Has2,-2.03
Adra1a,-1.98
Nars2,-1.48
Ccdc85a,-1.62
Cachd1,-1.69
Trpm3,-2.09
Mab21l2,-1.46
Arfgap2,-1.6
B230118H07Rik,-2.01
Pde10a,-1.92
Dtna,-1.53
Gm9343,-1.57
Tex2,-1.48
Plxna4,-1.71
Htr5a,-1.92
Zfp677,-2.13
Gm10955,-1.49
Pkhd1,-2.1
2610008E11Rik,-1.96
Odz2,-1.55
Snhg11,-1.52
Pip5k1b,-1.91
Frmd4a,-2.23
Zpld1,-1.58
Lsm14a,-1.54
Acpp,-1.59
Pappa,-1.47
Rabgap1l,-1.54
Cep152,-1.76
Moxd1,-1.48
Dsel,-1.62
B130024G19Rik,-1.92
Egflam,-1.86
Zfp608,-1.5
Trp63,-1.38
Gm8394,-1.58
Sh3bgrl,-1.92
Pxmp3,-1.97
Xylt1,-2.32
Wdr11,-1.64
Gm1840,-1.8
Myc,-1.94
Jakmip2,-1.4
Nov,-1.38
Iapp,-1.62
Cps1,-1.61
Abca4,-1.72
8430410K20Rik,-1.99
Pik3c3,-2.05
Cntnap5a,-1.65
Zfp677,-1.35
Cdh12,-1.37
Gm10063,-1.43
Zfp161,-1.51
Trpc6,-1.44
Gm9008,-1.76
Pld1,-1.78
Ocm,-1.99
Lce6a,-2.14
AW146020,-1.44
Hs6st2,-1.4
Kcna4,-1.41
Prr23a,-1.56
Gm11111,-2.29
Rnf217,-1.49
Zfpm2,-1.72
Rfwd2,-1.46
Cdx4,-1.46
Pilrb2,-1.46
Apol7d,-1.6
Ppp1r9a,-1.86
Eftud1,-1.93
Csmd3,-1.34
Sgip1,-1.38
Frem3,-1.55
Chd9,-1.52
Gm17394,-1.7
Ppp4r4,-1.93
Iqsec2,-2.26
Olfr576,-2.27
Myo10,-1.56
Tnfsf4,-1.68
2410076I21Rik,-1.67
Ap1s3,-1.79
Dkk2,-2.02
Cdh12,-2.4
Utrn,-1.32
Scg2,-1.31
Mcph1,-1.54
Copa,-1.43
Tbl1x,-1.73
Mid1,-1.54
Grik2,-1.78
Cdh8,-2.04
Mamdc2,-1.77
Gm4392,-2.09
Egflam,-1.38
Zbtb40,-1.46
Bet1,-1.58
Gm17459,-1.34
Atp8a1,-1.57
Pdzrn3,-1.58
Kcnip2,-1.55
Hivep2,-1.71
Efnb2,-1.55
Erbb4,-1.73
Zfp462,-1.93
Rabl2,-2.15
Zfp608,-1.27
Dnahc5,-1.37
Fam108c,-1.35
Rnf44,-1.5
Lyzl1,-1.57
Unc5d,-1.67
Foxk1,-1.53
Sh3bp4,-1.52
Gdpd4,-1.65
Dnajb11,-1.64
Plch1,-1.76
Frmd7,-2.47
Lypd6,-2.6
Fam55b,-1.46
BC026585,-1.4
Inhba,-1.67
Gm606,-1.74
Cdh10,-1.64
Mas1,-1.82
Gm17684,-1.9
Vstm2b,-2.03
Arrdc1,-1.85
Zfp608,-1.38
Oxr1,-1.47
Atg4a,-1.64
Arhgef26,-1.81
Lhx5,-1.66
Nkain3,-2.2
Asb13,-2.25
Nrxn3,-1.29
Vip,-1.29
Vmn1r226,-1.41
Speer2,-1.52
Lmcd1,-1.5
Pamr1,-1.55
Klhl13,-1.58
Pcdh18,-1.69
A2ld1,-1.38
Gm9966,-1.44
Cenpc1,-1.57
Snx5,-1.57
Zfyve9,-1.41
Tmem90b,-1.62
Rnf144b,-1.61
Bcl2,-1.67
Ephb1,-1.58
Hdac2,-1.24
Gm10192,-1.24
Pth2r,-1.24
Thsd4,-1.3
Armc6,-1.26
Ets1,-1.26
App,-1.36
4930423O20Rik,-1.45
Fkbp6,-1.52
Vmn2r120,-1.51
Olfr18,-1.72
Gm5848,-1.65
G6pd2,-1.79
Prom1,-1.72
Pcdh18,-2.07
Soat1,-2.07
B9d2,-2.26
Nkain3,-1.4
Gm8730,-1.4
Cdh9,-1.31
Tas1r2,-1.44
Agbl1,-1.42
Rims1,-1.4
D630036H23Rik,-1.5
1700018B24Rik,-1.55
Bdnf,-1.61
Bcl9,-1.44
Sclt1,-1.59
Gm9898,-1.71
Ptprm,-1.83
Impg2,-2.02
Lypd6b,-1.22
Macrod2,-1.28
AI317395,-1.34
Lrrc47,-1.3
Manea,-1.43
Lrrtm4,-1.16
Luzp2,-1.21
Ier3,-1.42
Scn2a1,-1.45
Pip5k1b,-1.4
Wls,-1.57
Hax1,-1.24
2210407C18Rik,-1.26
Ntrk3,-1.42
Celf2,-1.54
Spag16,-1.54
Tal2,-1.61
Elac2,-1.57
Eya1,-1.8
Rnf44,-1.53
Gbe1,-1.84
1700047G07Rik,-1.7
Gm1968,-1.75
Zfp770,-1.9
Gm17570,-2.2
Fkbp1a,-1.46
Gm5506,-2.04
Dlk1,-1.76
1600027N09Rik,-1.27
Gm2058,-1.35
6330527O06Rik,-1.36
Sema6a,-1.49
Rspo3,-1.5
Megf11,-1.27
Tmeff2,-1.46
Nt5c1b,-1.57
Fam38a,-1.32
Adcyap1,-1.71
Odz2,-1.6
Camk4,-1.68
C230029F24Rik,-1.93
Gm5507,-1.84
Amd2,-1.19
Grm6,-1.28
Kctd16,-1.36
Lphn3,-1.47
Plce1,-1.5
Pcca,-1.49
Cyp4f15,-1.31
Amd2,-1.71
Fmn1,-1.73
Mad2l1,-1.61
Frmd5,-1.49
Pde6h,-2.07
Lyzl4,-1.73
Prpf4b,-1.2
Adcyap1r1,-1.2
Kdm6b,-1.22
Rap1gds1,-1.35
Nat1,-1.37
Satb2,-1.33
Zwint,-1.43
Rims2,-1.23
Diap2,-1.4
Greb1l,-1.59
Gm17618,-1.67
Cib2,-1.5
1110067D22Rik,-1.65
Gm5965,-1.66
Spred2,-1.81
F830104G03Rik,-2.16
Zfp36l2,-1.92
Ercc3,-1.25
Foxq1,-1.31
Efnb2,-1.29
Olfr328,-1.36
Park2,-1.41
Maf,-1.44
Stk25,-1.49
Yipf6,-1.64
Hs3st5,-1.49
Arsj,-1.59
Ptprd,-1.81
Fggy,-1.69
Mt4,-2.11
Mrpl37,-1.77
Cited2,-1.17
Gm6741,-1.34
3100002H09Rik,-1.24
Sorbs2,-1.39
Odz3,-1.66
Olfr224,-1.51
Grin2a,-1.76
Gm8181,-1.67
Fras1,-1.82
Prkch,-1.65
Glis3,-2.15
Sdk1,-1.89
Tmem55a,-1.92
Rgmb,-2.11
Lcp2,-1.88
Grin2b,-1.12
Eef2k,-1.16
Mcts1,-1.22
Rps6kc1,-1.21
Slc8a1,-1.34
B930007M17Rik,-1.35
Svip,-1.4
Kif26b,-1.34
Dhx40,-1.41
Ankrd50,-1.54
3110043O21Rik,-1.51
Chd1,-1.68
Chrm2,-1.64
Slc28a3,-1.52
Jam3,-1.62
Arhgap21,-1.74
Rapgef4,-1.74
Hoxb1,-1.65
Odz3,-1.19
Dmd,-1.24
Klf4,-1.29
Ncald,-1.31
Slco1c1,-1.38
C1galt1,-1.49
Cntnap5b,-1.51
Gm16223,-1.96
Dscam,-1.12
Gapvd1,-1.12
Mapkapk2,-1.18
Fbxl7,-1.28
