gene,pvalue
Ccm2,3100
Hps1,3100
Camta1,2186.44
Sptlc2,3100
Cant1,3059.72
Cacna1c,3100
Zbtb7c,3100
Prrx2,3100
Hps1,3100
Gm9846,2164.37
Trpc4,3100
Slc39a11,2552.6
D830013O20Rik,3100
Cux2,3100
Hprt,399.5
Mpp7,3100
Adrb1,3100
Pknox1,3043.42
Opcml,2045.04
Epb4.1l4b,3100
Rabl5,1173.15
Srrm4,3100
Zc3h12a,3100
Sptlc2,3100
Pcdh9,2182.56
Sorl1,3100
Dst,2422.38
Fhit,3100
Plce1,3100
Cldn27,745.17
Larp4b,3100
Ass1,3100
Inpp4a,3100
Zfp277,2213.67
Ivns1abp,3100
Klf12,3100
Gm10110,3100
Tax1bp1,2173.56
Zfp706,3100
Slc5a4a,1840.19
Bdkrb2,1230.29
Osta,3100
Pax7,1682.07
R3hcc1,1185.88
Ppp2r5a,3100
Cdadc1,3100
Fzd10,1093.4
Pmaip1,3100
Bdkrb2,1246.63
Epb4.1l4a,3100
Xrcc5,1378.59
Ccz1,1044.4
Grik4,858.94
Eri3,3105.75
Traf3ip2,3100
Shq1,3100
Nde1,3100
Klf12,3100
Fam65a,2783.6
Gm9887,1956.22
B4galt6,3100
Syt7,2702.84
Kif26a,2477.07
Zc3h12a,2027.98
Zap70,3101.2
1700008A04Rik,3100
Runx2,3100
Ppp2r5c,3100
6430527G18Rik,2562.12
Dctd,3100
Begain,3100
Cyp26b1,1327.13
Dffb,463.41
Xiap,3100
Gm10110,3024.59
Gm9104,1181.29
Flt4,1135.44
Smtnl2,2505.71
Kank1,1679.77
Tmco4,1331.16
Eri3,974.46
Muc4,1890.27
Arhgap26,1768.96
AI413582,761.47
Runx3,3100
Trpc7,2346.45
Tbc1d2,1668.57
3110056O03Rik,1663.12
Msr1,1655.49
Gprc5b,3100
9630041A04Rik,2693.03
Gm7221,1045.22
Sip1,387.17
Spock1,3149.32
Osbpl10,3100
Klf8,2289.14
Tm9sf3,1382.01
Ctnnbl1,1210.48
Casz1,1532.13
Spry2,272.43
Kif13b,3100
F730048M01Rik,3100
Lactb2,2217.82
Emx2,2201.29
Diap3,1275.13
Ankrd9,310.32
Tctn1,3100
Elf5,2182.39
Ankrd33b,3100
Med27,3100
Mdga1,2755.12
Cdc123,2482.29
Oxgr1,3100
Otoa,1419.03
Zcwpw2,1411.34
Gpr83,986.2
Prex1,481.66
Gm6616,3100
Mesp1,3057.17
Syde2,2659.56
Vkorc1l1,2404.91
Rab11fip3,2240.99
Cdk15,949.34
Vrk1,758.74
Cog3,2947.84
Dmxl2,1902.9
Gm17295,794.13
Tcfap2a,3100
Jdp2,3100
Gtf2a1,2835.99
Rnf38,2204.16
Cdh22,2099.17
Rplp1,1958.54
F2rl1,1802.11
Dct,1512.55
Tpm3-rs7,857.47
Ephb2,735.49
Rbm26,728.24
Nek2,3100
Fxyd4,3100
Vrk1,3100
Entpd1,2810.28
Klf10,3100
BC030870,3100
Efna5,3100
Ppapdc1a,2628.52
Pax8,2253.88
Gna13,2057.16
Zbtb7c,1695.08
Tns1,1544.02
Prex1,1306.47
Gpr68,669.41
Tbx3,3100
Pknox1,3100
Trpv3,1654.27
Abhd3,1603.23
1200011I18Rik,2790.55
Tgfbr2,2599.47
Diap3,1825.22
Peg10,1729.23
Pdzd7,1640.87
Klf12,915.46
Pim3,3100
Tgfbr2,1392.73
Gata2,1079.94
Zmynd8,743.62
Klf12,3100
Max,2083.69
Olfr54,924.95
Atrx,3100
9030418K01Rik,3100
Lhx6,3100
Pvrl1,3100
Kcne2,2784.09
Bcar3,2079.44
Abca15,1724.73
Nol10,3100
Gm10076,3100
Bdkrb2,3024.48
Ptprg,2788.77
Pmepa1,2477.43
Vwa3a,2120.86
Fosl2,1738.39
1700101E01Rik,1668.94
9430076C15Rik,1282.37
Mtap1b,1199.08
1700040I03Rik,3100
Glra1,3100
A730045E13Rik,3100
Mapk4,3100
Mgat4a,3039.96
Plekhf2,2618.07
Sorcs2,956.14
Igsf21,941.1
Lgals3,3100
Sema4f,3100
Spry2,3100
Slc46a1,2770.19
Nkx6-2,2466.22
Slc38a10,1165.2
BC048943,901.01
Kcnh3,528.52
AI413582,3222.27
D8Ertd82e,3100
Mreg,3100
Btg1,3100
Irx1,2920.38
Rpl36-ps3,2151.63
Guca2a,1910.23
Rp1l1,1590.51
Gfpt2,1493.23
Sulf2,1488.18
Ppp6c,1037.56
Pak6,842.6
Max,831.55
Slc25a37,724.58
Eepd1,3100
Smarcad1,3100
Whrn,3100
6720463M24Rik,3100
Asb1,3100
Vdac1,3100
Tnfsf11,3100
2810002N01Rik,3100
Chst3,2179.83
Pank3,1967.94
Sgpp1,1683.12
Gjb4,1625.31
Inf2,1514.34
Ap1m2,676.33
Gse1,624.93
1700001O22Rik,3100
Lpgat1,3100
Mef2a,3100
Zc3h12a,3100
Actrt2,3100
Ak7,3100
Sox21,3100
6030458C11Rik,3001.45
Peli1,2864.83
Mgmt,2405.1
Mapt,1996.63
1700110M21Rik,1230.15
Itpk1,1120.57
Zbtb38,762.24
Tbc1d1,731.53
Cpn2,622.84
Glt25d2,3100
Gfra2,3100
Sec31a,3100
Rab27a,2205.78
Pet112l,2178.42
Dnajc11,1482.69
Evx1,938.62
Ankrd33,823.55
Zfyve21,132.15
Pawr,3100
Src,2749.91
Egln3,2692.71
Ly75,2649.79
Baiap2,2535.35
Otx1,1239.54
Sulf2,885.57
Gins3,3100
Lrp1b,3100
Zcchc2,3100
Ppm1a,3100
Ncoa3,1278.79
Bambi,992.32
Lrp1,598.13
Kit,3100
Kcnab3,3100
Ldlrad3,3100
Pdia5,3100
Pik3r3,2037.92
Lsm6,1207.49
Tdrd3,1138.48
Arap1,931.09
AI427809,3183.31
Bcar3,3100
Rdm1,3100
Sun2,2626.41
Muc4,2274.15
Slitrk5,1989.71
Hs6st3,1147.85
Tmx1,1113.84
Gtpbp4,3100
Zfp36l1,3100
Tmem136,3100
Neurod1,2200.89
Csnk1e,1620.57
Tcerg1l,1385.07
Tgds,1229.28
Slc15a4,1114.12
9530068E07Rik,895.26
Ptpn13,774.92
Stra6,3100
Trim33,3100
Jakmip1,3100
Pcsk2,3100
Frmd6,3100
Fnip2,2900.39
Gm17301,2893.37
Tex2,2729.29
Nedd4,1847.65
Slc6a12,1535.22
Gata6,3100
Rbms3,3100
Syt7,3100
Camta1,3100
Igsf3,3100
Fgf1,3100
Dapl1,2831.06
Fam196b,2763.94
Klf12,2449.7
Nrip1,2446.23
Pop4,1953.28
Zmynd8,1486.68
Zc3h12a,1330.11
Gm16223,1183.22
Rpp25,968.49
Tshz3,948.45
Cts3,3100
Prickle1,3100
A730045E13Rik,3100
Dct,3100
Aim1l,3100
Tspan11,2762.64
Ctnnb1,2303.54
Thap7,2235.23
Bdkrb1,2019.21
Actl7b,1838.9
Gm10136,1709.83
Oscp1,1683.29
Pigyl,1651.44
Leo1,991.75
Irg1,125.96
1700001K19Rik,3100
AY702102,3057.08
Havcr1,2678
Rasa4,2505.97
Prdm10,2362.87
Gm5428,2310.36
Lmo7,2106.99
Recql5,1745.96
Npm1,1260.37
Aff1,1253.03
3300002A11Rik,167.23
Zfp326,3100
Diap3,3100
Rps29,3100
Rad51l1,3100
2010109K11Rik,3081.56
1700063H04Rik,2919.26
Gm10803,2550.74
Ankrd33,2540.52
Moap1,2180.79
Arhgap5,1818.46
1700101I19Rik,1624.65
Galnt11,1291.18
Epb4.1l2,3100
Rnf220,3100
Gpatch2,3100
Vps8,3100
Frmd8,3100
Edn2,3100
4921530L21Rik,3100
Smad7,2657.86
4930430O22Rik,2654.14
Pla2g7,2358.68
Rgs3,1943.52
Efcab4b,1861.21
Pbp2,1824.13
Fndc3b,1586.19
Med27,1173.23
Gm9867,673.58
Ajap1,579.69
Ccrn4l,3100
Tbx3,3100
Atp2a2,3100
Fgf15,3100
Hbegf,2223.22
Tm4sf5,1675.22
Hpcal1,1632.43
Pkd2l2,1284.45
Nkain3,1102.11
Rpl10l,996.9
Igsf21,983.2
Jdp2,755.74
Phlda1,3137.85
Calm2,3100
Fos,3100
Rpl36-ps3,3100
Gm6132,2545.3
Zfp521,2301.77
Gm3436,2041.17
Pebp1,1925.5
Myt1l,1894.85
